Date,Latitude,Longitude,Depth,Magnitude,Magnitude Type_MD,Magnitude Type_MH,Magnitude Type_ML,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWR,Magnitude Type_MWW,Status_Reviewed,Cluster
1965-01-02,19.246,145.616,1.2440570269128686,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-01-04,1.863,127.352,0.7730877790672799,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-01-05,-20.579,-173.972,-0.5168078356520622,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,1
1965-01-08,-59.076,-23.557,-0.7766486867831941,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,2
1965-01-09,11.938,126.427,-0.7766486867831941,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-01-10,-13.405,166.629,-0.001780453857957312,1.9443351346976394,0,0,0,0,1,0,0,0,0,0,0
1965-01-12,27.357,87.867,-0.5168078356520622,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-01-15,-13.309,166.212,-0.001780453857957312,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-01-16,-56.452,-27.043,0.9354314231746657,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,2
1965-01-17,-24.563,178.487,2.6307767778515667,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-01-17,-6.807,108.988,1.765726918088551,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-01-24,-2.608,125.952,-0.5168078356520622,4.909174296578863,0,0,0,0,1,0,0,0,0,0,0
1965-01-29,54.636,161.703,0.42040404138056114,-0.9520106862444903,0,0,0,0,1,0,0,0,0,0,0
1965-02-01,-18.697,-177.864,2.4810301091474374,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,1
1965-02-02,37.523,73.251,-0.7766486867831941,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-02-04,-51.84,139.741,-1.1346795570743498,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,0
1965-02-04,51.251,178.715,-0.1354599187649223,5.777799812397841,0,0,0,0,1,0,0,0,0,0,0
1965-02-04,51.639,175.055,-0.14466252700223597,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-02-04,52.528,172.007,-0.312731353622927,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
